invoiceno,invoicedate,customerid,country,amount
536365,01.12.2010,17850,United Kingdom,138
536366,01.12.2010,17850,United Kingdom,22
536367,01.12.2010,13047,United Kingdom,281
536368,01.12.2010,13047,United Kingdom,71
536369,01.12.2010,13047,United Kingdom,18
536370,01.12.2010,12583,France,857
536371,01.12.2010,13748,United Kingdom,204
536372,01.12.2010,17850,United Kingdom,22
536373,01.12.2010,17850,United Kingdom,258
536374,01.12.2010,15100,United Kingdom,350
536375,01.12.2010,17850,United Kingdom,258
536376,01.12.2010,15291,United Kingdom,329
536377,01.12.2010,17850,United Kingdom,22
536378,01.12.2010,14688,United Kingdom,444
536380,01.12.2010,17809,United Kingdom,35
536381,01.12.2010,15311,United Kingdom,452
536382,01.12.2010,16098,United Kingdom,431
536384,01.12.2010,18074,United Kingdom,491
536385,01.12.2010,17420,United Kingdom,131
536386,01.12.2010,16029,United Kingdom,508
536387,01.12.2010,16029,United Kingdom,3193
536388,01.12.2010,16250,United Kingdom,227
536389,01.12.2010,12431,Australia,359
536390,01.12.2010,17511,United Kingdom,1824
536392,01.12.2010,13705,United Kingdom,319
536393,01.12.2010,13747,United Kingdom,80
536394,01.12.2010,13408,United Kingdom,1026
536395,01.12.2010,13767,United Kingdom,509
536396,01.12.2010,17850,United Kingdom,376
536397,01.12.2010,17924,United Kingdom,279
536398,01.12.2010,13448,United Kingdom,427
536399,01.12.2010,17850,United Kingdom,22
536400,01.12.2010,13448,United Kingdom,17
536401,01.12.2010,15862,United Kingdom,356
536402,01.12.2010,15513,United Kingdom,357
536403,01.12.2010,12791,Netherlands,193
536404,01.12.2010,16218,United Kingdom,469
536405,01.12.2010,14045,United Kingdom,326
536406,01.12.2010,17850,United Kingdom,352
536407,01.12.2010,17850,United Kingdom,22
536408,01.12.2010,14307,United Kingdom,782
536409,01.12.2010,17908,United Kingdom,243
536412,01.12.2010,17920,United Kingdom,522
536414,01.12.2010,777777,United Kingdom,0
536415,01.12.2010,12838,United Kingdom,388
536416,01.12.2010,13255,United Kingdom,226
536420,01.12.2010,16583,United Kingdom,233
536423,01.12.2010,18085,United Kingdom,304
536425,01.12.2010,13758,United Kingdom,361
536437,01.12.2010,13694,United Kingdom,842
536446,01.12.2010,15983,United Kingdom,440
536460,01.12.2010,14849,United Kingdom,297
536463,01.12.2010,14849,United Kingdom,17
536464,01.12.2010,17968,United Kingdom,279
536466,01.12.2010,14849,United Kingdom,43
536477,01.12.2010,16210,United Kingdom,2475
536488,01.12.2010,17897,United Kingdom,166
536500,01.12.2010,17377,United Kingdom,226
536502,01.12.2010,16552,United Kingdom,96
536508,01.12.2010,17181,United Kingdom,155
536514,01.12.2010,17951,United Kingdom,297
536520,01.12.2010,14729,United Kingdom,312
536521,01.12.2010,12748,United Kingdom,5
